;Локальная тема;Описание
60;Неубранная остановка общественного транспорта;Остановка в мусоре, прошу обратить внимание, спасибо
61;Неубранная остановка общественного транспорта;
62;Незаконные объявления, надписи, изображения на павильоне;
63;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Указателей маршрутов нет вообще.
64;Повреждение остановочного павильона;Остановки наземного городского транспорта должны содержаться в надлежащем состоянии, остановочный павильон на остановке поврежден:Ржавый.
65;Повреждение остановочного павильона;Отсутствует стекло
66;Незаконные объявления, надписи, изображения на павильоне;
67;Повреждение остановочного павильона;Отвалилась часть потолка
68;Повреждение остановочного павильона;
69;Повреждение остановочного павильона;Повреждение остановки 
70;Незаконные объявления, надписи, изображения на павильоне;
71;Незаконные объявления, надписи, изображения на павильоне;
72;Отсутствие или повреждение урн;
73;Незаконные объявления, надписи, изображения на павильоне;
74;Отсутствие или повреждение урн;
75;Отсутствие или повреждение урн;Прошу добавить урны на автобусную остановку
76;Повреждение остановочного павильона;
77;Неубранная остановка общественного транспорта;
78;Незаконные объявления, надписи, изображения на павильоне;
79;Повреждение остановочного павильона;
80;Неисправное электронное информационное табло/пилон;Не работает табло!
81;Незаконные объявления, надписи, изображения на павильоне;
82;Незаконные объявления, надписи, изображения на павильоне;
83;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;"Уже почти два месяца на остановке ""Улица Адмирала Макарова, 17"" (перед дом 17) не останавливается автобус 570, однако на маршрутом указателе автобус по-прежнему указан, что вводит пассажиров в заблуждение."
84;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Маршруты новой модели
85;Незаконные объявления, надписи, изображения на павильоне;
86;Незаконные объявления, надписи, изображения на павильоне;
87;Незаконные объявления, надписи, изображения на павильоне;
88;Незаконные объявления, надписи, изображения на павильоне;
89;Неубранная остановка общественного транспорта;
90;Незаконные объявления, надписи, изображения на павильоне;
91;Повреждение остановочного павильона;
92;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;
93;Незаконные объявления, надписи, изображения на павильоне;
94;Повреждение остановочного павильона;Не работает подсветка двух лайтбоксов на остановке. Исправьте пожалуйста
95;Повреждение остановочного павильона;Не работает освещение на остановке и подсветка лайтбоксов. Исправьте пожалуйста
96;Неисправное электронное информационное табло/пилон;"С одной стороны табло ""бегают"" зелёные точки посередине экрана (показал на фото). Также знак ""+"" перед температурой указан не полностью. С другой стороны табло работает некорректно. Исправьте пожалуйста"
97;Повреждение остановочного павильона;Разбито стекло на остановке
98;Неубранная остановка общественного транспорта;Проблема с плохим содержанием остановок общественного транспорта в Раменках ЗАО Москвы не решается ! Верхнюю часть стеклянных павильонов не моют(фотографии). Просим, наложить взыскание на работников и уволить!
99;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Проблема с плохим содержанием остановок общественного транспорта в Раменках ЗАО Москвы не решается ! Информационная табличка о маршрутах отсутствует. Просим, наложить взыскание на работников и уволить!
100;Незаконные объявления, надписи, изображения на павильоне;
101;Отсутствие или повреждение урн;Урна измята и не красится !
102;Отсутствие или повреждение урн;сгнила урна на остановке 
103;Неубранная остановка общественного транспорта;
104;Незаконные объявления, надписи, изображения на павильоне;
105;Неисправное электронное информационное табло/пилон;Не работает информационное табло 
106;Повреждение остановочных указателей маршрутов;Информационная табличка грязная и измята !
107;Отсутствие или повреждение урн;Урна измята и не красится!
108;Незаконные объявления, надписи, изображения на павильоне;
109;Неубранная остановка общественного транспорта;Проблема с плохим содержанием остановок общественного транспорта в Раменках ЗАО Москвы не решается ! Верхнюю часть стеклянных павильонов не моют(фотографии). Просим, наложить взыскание на работников и уволить!
110;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Троллейбус 20 на данной остановке не останавливается.
111;Незаконные объявления, надписи, изображения на павильоне;
112;Неубранная остановка общественного транспорта;Переполненные урны и очень много мусора рассыпано по трамвайной остановке в сторону сокола
113;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Троллейбус 20 на данной остановке не останавливается.
114;Отсутствие или повреждение урн;Урна отсутствует!
115;Неубранная остановка общественного транспорта;Проблема с плохим содержанием остановок общественного транспорта в Раменках ЗАО Москвы не решается ! Верхнюю часть стеклянных павильонов не моют(фотографии). Просим, наложить взыскание на работников и уволить!
116;Неубранная остановка общественного транспорта;Грязная остановка
117;Неубранная остановка общественного транспорта;
