;Локальная тема;Описание
105;Несоблюдение требований к размещению информационных вывесок;"Крышная конструкция. Прошу проверить на соответствие п. 21.9 902-ПП. Конструкции с текстом ""му му"" размещены выше линии 2 этажа (п. 10.2 902-ПП). Консольная конструкция размещена далее 0,2 м от фасада (п. 19.2 902-ПП)."
106;Несоблюдение требований к размещению информационных вывесок;Прошу провести проверку на соответствие требованиям размещения информационных вывескок
107;Незаконная установка рекламной конструкции;Прямо в Перовском парке культуры и отдыха нарушен закон о рекламе! 
108;Несоблюдение требований к размещению информационных вывесок; Инфобаннер. 
109;Незаконная установка рекламной конструкции;Прошу проверить законность установки рекламы под стеклом остановочного пункта
110;Незаконная установка рекламной конструкции;Рекламная конструкция расположена в зоне действия перехода. По регламенту должна находиться не ближе 50- ти метров от перехода.
111;Несоблюдение требований к размещению информационных вывесок;Незаконное размещение вывесок АПТЕКА. Панель-кронштейн и вывеска на фризе не соответствует 902 ПП и концепции.
112;Несоблюдение требований к размещению информационных вывесок;Размещение рекламы на фасаде дома без согласования
113;Несоблюдение требований к размещению информационных вывесок;Информационные Вывески висят в нарушение 902пп. Продукты висит в нарушение 902пп. А также Запрещено вешать вывеску не над местом размещения.
114;Несоблюдение требований к размещению информационных вывесок;Не законная установка рекламы
115;Незаконная установка рекламной конструкции;Запрещенная конструкция «штендер».
116;Несоблюдение требований к размещению информационных вывесок;Незаконная установка рекламной конструкции на здании. Уберите
117;Несоблюдение требований к размещению информационных вывесок;"Вывески ""Фрутомания"" и ""Универсам"" на здании в 2 уровня при отсутствии дизайн-проекта. Это запрещено. К тому же окно шаурмы по периметру окружено вывесками - незаконно."
118;Незаконная установка рекламной конструкции;
119;Незаконная установка рекламной конструкции;
120;Несоблюдение требований к размещению информационных вывесок;Не законно установленные вывески, так как установлены не около входа и без разрешения общего собрания собственников.
121;Незаконная установка рекламной конструкции;
122;Незаконная установка рекламной конструкции;
123;Несоблюдение требований к размещению информационных вывесок;"Огромная информационная вывеска ""ЕвроКлиника"", а вернее её габариты, вызывает вопросы. Прошу проверить. "
124;Несоблюдение требований к размещению информационных вывесок;Незаконный баннер
125;Несоблюдение требований к размещению информационных вывесок;Просьба проверить на нарушение размещения №902-ПП
126;Несоблюдение требований к размещению информационных вывесок;Незаконное размещение рекламы на фасаде дома
127;Незаконная установка рекламной конструкции;Прошу проверить законность установки рекламной конструкции под стеклом остановочного пункта 
