;Локальная тема;Описание
157;Неубранная городская территория;Добрый день! Помоги решить проблему. По адресу Большая Черкизовская улица, 26 к 3, у подъезда 8 на автомобильной парковке всегда мусор. Навалены мешки, бутылки пластиковые. Управляющая компания эту территорию по какой причине не убирает никогда. Просьба принять меры. Заранее благодарю.
158;Неубранная городская территория;
159;Захламление территории;Грязь, крысы, мухи и плохой запах
160;Неубранная городская территория;
161;Неубранная городская территория;За домом совсем не убирается газон! Очень давно валяется мусор. Просьба устранить. 
162;Неубранная городская территория;Вот так выглядит газон на дворовой территории Игарский 13.
163;Захламление территории;
164;Некачественное содержание улично-дорожных информационных указателей;На информационном указателеотсутствует табличка, о том, что впереди Николо-Перевинский Монастырь, её отломили!
165;Захламление территории;Опять складирование асфальтового скола.
166;Неубранная городская территория;территория вокруг шипиловского загса захламлена. Газоны не убираются
167;Неубранная городская территория;
168;Неубранная городская территория;Обкленно половина улицы подобными рекламными наклейками. Прошу устранить не законную и не красивую рекламу. 
169;Некачественное содержание улично-дорожных информационных указателей;
170;Захламление территории;Неправомерное складирование строительных материалов и мусора. От порывов ветра песок разлетается по округе. Прошу принять меры
171;Неубранная городская территория;Либо новый поставьте либо надписи уберите
172;Неубранная городская территория;
173;Неубранная городская территория;
174;Неубранная городская территория;Безобразие, территория брошенная! Ни когда не убирают, пока не напишем или не попросим, валяются бутылки, бумажки, маски, и тд. Просим убрать территорию по всей улице 11 х домов.все фото просто не умещаются, везде грязь.
175;Захламление территории;
176;Неубранная городская территория;Неубранный мусор
177;Неубранная городская территория;
178;Неубранная городская территория;Куча пакетов с мусором, прошу убрать
179;Неубранная городская территория;
180;Неубранная городская территория;У салона красоты на газоне лежит бетонный блок, явно не предназначенный для установки на газоне.
181;Неубранная городская территория;Будьте любезны убрать эту землю до асфальта или вровень с ним. Там постоянно мусор и эта земля используется как туалет для тех, кто паркуется бесплатно. Вонь стоит жуткая. 
182;Неубранная городская территория;
183;Неубранная городская территория;Дорожники, укладывающие асфальт, не забрали свои заграждения. Прошу убрать.
184;Неубранная городская территория;Контейнер переполнен мусором. Наведите порядок.
185;Неубранная городская территория;
186;Повреждение уличной лестницы;Добрый день! Прошу выполнить ремонт лестниц! Спасибо!
187;Неубранная городская территория;
188;Неубранная городская территория;Неизвестно куда подключенные концы провода валяются прямо в траве, завязаны на стволе дерева. Это может быть опасно!
189;Неубранная городская территория;"Рябиновая улица дома 36 с корпусами не убирается мусор на территории. Приходится постоянно обращаться на портал мэра ""Наш город"" и только после обращения может кто то приехать подмести. Не понятно почему люди должны жить в не убираемых от мусора дворах и постоянно куда то писать. ООО ""Жилищник"" не выполняет свою работу по уборке территории."
190;Захламление территории;Захламление территории!Бетонное кольцо на придомовой территории!Авиамоторная улица д.49/1
191;Неубранная городская территория;Устроена помойка возле подъезда 7. Не убирают в течение 10 дней уже, только добавляют мусор. 
192;Захламление территории;
193;Неубранная городская территория;Очень грязно и много мусора! 
194;Неубранная городская территория;Намеренное захламление территории песком. Здесь нет песочниц и не играют дети, а ездят или стоят машины, соответственно, спрашивается: зачем на этом месте гора песка??? Объясните, для чего вы насыпали гору песка? Чтобы собаки ходили в песок по туалетным делам или зачем, для чего на асфальте насыпана гора песка? Очистите территорию от захламления!!!
195;Неубранная городская территория;Просьба убрать мусор с пешеходной дорожки. Деревья срублены неделю назад!
196;Неубранная городская территория;Требую очистить от мусора и хлама городскую территорию у д.41 к.1 по ул. Зеленодольской! См. Фотофиксацию. О.
197;Некачественное содержание улично-дорожных информационных указателей;Частично поврежден информационно- адресный указатель 
198;Неубранная городская территория;
199;Повреждение уличной лестницы;Лестница повреждена, прошу обратить внимание, спасибо
200;Неубранная городская территория;
201;Захламление территории;Бетонный блок, не несущий никакого функционала.
202;Неубранная городская территория;Второй день лежат остатки краски
203;Разрушение/неправильная укладка тактильной плитки;
204;Неубранная городская территория;Мусор вокруг урн, лавочек, а также на газоне, прошу обратить внимание, спасибо
205;Неубранная городская территория;В кустах перед домом устроены спальные места, лежат одеяла. Даже днем в зеленой зоне перед домом - всюду компании и спящие люди. Под кустами разбросан также мусор и устроен туалет.  
206;Неубранная городская территория;Урны переполнены мусором
207;Неубранная городская территория;
208;Неубранная городская территория;надписи на элементах городской инфраструктуры, прошу обратить внимание, спасибо
209;Неубранная городская территория;Здравствуйте, Вот, из-за того что дворники собирают, себе картон тем засоряя территорию которую не убирают. То из-за них теперь бомжи могут поселить себе матрас или сделать одеяло. ПРИМИТЕ ПОЖАЛУЙСТА МЕРЫ. СПАСИБО.
210;Неубранная городская территория;Ужасно грязная площадь. Жилищник вы знаете что такое плановые уборки? Эту площадь ни разу за лето не убрали 
211;Неубранная городская территория;Строительный мусор валяется на газоне
212;Некачественное содержание улично-дорожных информационных указателей;Частично поврежден информационно-адресный указатель в торце дома
213;Захламление территории;
214;Неубранная городская территория;Мусор от недоделанного ремонта уже лежит месяц. Сухие строительные смеси, купленные за наши деньги, уже месяц лежат под дождем и, скорее всего, пришли в негодность
215;Неубранная городская территория;прошу убрать мусор и навести порядок
216;Захламление территории;Требую убрать опасный крупный хлам с городской территории за д.42 к.1 по ул.Юных Ленинцев! См фотофиксацию. О
217;Неубранная городская территория;Захламление территории!
218;Неубранная городская территория;Выкинутые бесхозные мягкие грязные игрушки
219;Неубранная городская территория;
220;Неубранная городская территория;В лесопарковой зоне около пл.Юности дорожки рядом с кортом плохо убирают от мусора 
221;Неубранная городская территория;Складирование порубочных остатков на территории зеленых насаждений. Ориентиры на фото
222;Неубранная городская территория;Захламление обрезками веток. Вывезти мусор
223;Захламление территории;
224;Неубранная городская территория;
225;Неубранная городская территория;На дереве висит оконная сетка. Если упадёт - повредит авто или нанесёт серьёзную травму.
226;Неубранная городская территория;
227;Разрушение/неправильная укладка тактильной плитки;Около дома 38
228;Неубранная городская территория;
229;Неубранная городская территория;У входа в парк.
230;Неубранная городская территория;
231;Неубранная городская территория;Уже надоело писать о том, что урна стоит не для красоты. В нее кидают собачьи отходы, она уже вся воняет. Больше недели урна стоит и никто ее не хочет убрать. Пожалуешься, почистим. Молчишь, никому это урна в плане уборки не нужна. 
232;Некачественное содержание улично-дорожных информационных указателей;Вандальная графика на указателе.
233;Захламление территории;Рядом с домом по удресу улица Авиаторов, 11с2, между ним и гаражным кооперативом на строящейся дороге обнаружена свалка мусора.
234;Неубранная городская территория;Площадка для сбора мусора превратилась в туалет. Антисанитария. Всему виной ожидающие клиники, посетители парка и таксисты. Запах на передать. Без тени смущения эта категория граждан в любое время суток превращает это место в туалет. Прошу решить эту проблему. 
235;Неубранная городская территория;Бетонный блок на газоне. (угол забора школы)
