;Локальная тема;Описание
165;Ненадлежащий уход за зелеными насаждениями в парке;На поле высокая трава. Надо покосить
166;Неубранная парковая территория;Справа от Исторической дороги (по направлению к набережной) много мусора: салфетки, банки, бутылки, упаковки от презервативов и т.д.
167;Некачественное содержание детской площадки в парке;Сломана ручка у этого аттракциона.
168;Ненадлежащий уход за зелеными насаждениями в парке;Деревья мешают пройти
169;Неисправность элементов освещения в парке;Здравствуйте! Один из фонарей на набережной, которые вмонтированы в пол, провалился и туда могут наступить люди и травмироваться. Расположение: глядя на воду от памятника водолазу пойти направо и на ближайшей площадке фонарь почти по середине. Проблеме уже месяц и о ней знают только танцоры на набережной.
170;Некачественное содержание детской площадки в парке;Просьба устранить поломку на деревянной горке + покрыть ее лаком.
171;Ненадлежащий уход за зелеными насаждениями в парке;Засыхание травяного покрова
172;Ненадлежащий уход за зелеными насаждениями в парке;Газоны не косили в 2020 году вообще. Трава под 2 метра, крапива, лопухи с человеческий рост. Даже по указанным вами законам о покосе разнотравья после цветения с 1-15 августа они ещё стоят!
173;Ненадлежащий уход за зелеными насаждениями в парке;сухое дерево полностью
174;Ненадлежащий уход за зелеными насаждениями в парке;Сломанные стволы и раскопанные корни орешника наркоманами.
175;Некачественное содержание инфраструктуры в парке;На детской площадке установлена библиотека. Отсутствует замок на дверцах
176;Ненадлежащий уход за зелеными насаждениями в парке;
177;Некачественное содержание инфраструктуры в парке;Дорожка находится а таком состоянии уже несколько недель
178;Ненадлежащий уход за зелеными насаждениями в парке;Покос в 1,5 метра от дорожки не соблюдается. Также яблони находятся в запущенном виде.
179;Ненадлежащий уход за зелеными насаждениями в парке;
180;Ненадлежащий уход за зелеными насаждениями в парке;Сколько можно писать бестолковые отписки?!!что вы устранили?покосили вдоль пешеходной дорожки по 50 сантиметров?это называется устранили?а дети дальше в траву не ходят,животные не ходят?можно растить кусты и собирать там мусор?ничего не делается!!!
181;Некачественное содержание инфраструктуры в парке;
182;Ненадлежащий уход за зелеными насаждениями в парке;
183;Некачественное содержание инфраструктуры в парке;В сквере у памятника Горбатый мост необходимо провести очистные работы в чашах бывших фонтанов у памятника под мостиком. На сегодня антисанитария в месте отдыха и прогулок
184;Неубранная парковая территория;
185;Ненадлежащий уход за зелеными насаждениями в парке;
186;Некачественное содержание инфраструктуры в парке;Повреждена беседка, просьба восстановить.
