;Локальная тема;Описание
190;Несвоевременное восстановление благоустройства;Брошенный и не используемый объект остался после строительства дома и занимает территорию газона. Необходимо произвести демонтаж
191;Несвоевременное восстановление благоустройства;Нужно восстановить благоустройство после законченной работы 
192;Отсутствие освещения в ночное время;Нет ночного аварийного освещения 
193;Неубранная территория строительной площадки;
194;Отсутствие ограждения площадки/ некачественное содержание ограждения;Отсутствие ограждения площадки!Травмоопасно!
195;Отсутствие освещения в ночное время;отсутствует освещение ограждения стройплощадки в ночное время
196;Отсутствие освещения в ночное время;
197;Отсутствие освещения в ночное время;
198;Отсутствие информационного щита/некачественное содержание щита;
199;Неубранная территория строительной площадки;Грязь на тротуарах и обочине дороги вдоль всего ремонта
200;Отсутствие информационного щита/некачественное содержание щита;
201;Отсутствие информационного щита/некачественное содержание щита;
202;Отсутствие ограждения площадки/ некачественное содержание ограждения;
203;Несвоевременное восстановление благоустройства;Несвоевременное восстановление благоустройства!травмоопасно!
204;Несвоевременное восстановление благоустройства;Не произведён демонтаж выведенной из эксплуатации после реконструкции дороги опоры.
205;Несвоевременное восстановление благоустройства;После реконструкции шоссе Энтузиастов не была демонтирована старая выведенная из эксплуатации опора, и часть временных проводов, на период стрйоки.
206;Отсутствие информационного щита/некачественное содержание щита;
207;Отсутствие информационного щита/некачественное содержание щита;
208;Несвоевременное восстановление благоустройства;После реконструкции шоссе Энтузиастов не была демонтирована старая выведенная из эксплуатации опора...
209;Несвоевременное восстановление благоустройства;После реконструкции трамвайной линии остались старые и временные опоры, выведенные из эксплуатации. Они подлежали демонтажу по окончанию работ, но демонтированы небыли.
210;Отсутствие ограждения площадки/ некачественное содержание ограждения;Отсутствует ограждение стройплощадки со стороны дома 1к2 по Нововладыкинскому проезду.
211;Несвоевременное восстановление благоустройства;Асфальт на тротуаре не восстановлен
212;Отсутствие освещения в ночное время;Отсутствует аварийное освещение мест разрытий.
213;Несвоевременное восстановление благоустройства;После реконструкции шоссе Энтузиастов не была демонтирована старая выведенная из эксплуатации опора.
214;Несвоевременное восстановление благоустройства;Асфальт вокруг люка не восстановлен
215;Несвоевременное восстановление благоустройства;После реконструкции шоссе Энтузиастов не была демонтирована старая выведенная из эксплуатации опора.
216;Отсутствие информационного щита/некачественное содержание щита;
217;Несвоевременное восстановление благоустройства;Не восстановлен газон. Брошены металлические ограждения
218;Несвоевременное восстановление благоустройства;Не восстановлены: 1. Газон 2. Бордюры 3. Испорченный асфальт +брошены деревянные бабины от кабеля
219;Несвоевременное восстановление благоустройства;После реконструкции шоссе Энтузиастов не были демонтированы старые подлежащие выведению из эксплуатации опоры.
220;Несвоевременное восстановление благоустройства;Газон не восстановлен
221;Несвоевременное восстановление благоустройства;
222;Несвоевременное восстановление благоустройства;Пешеходный тротуар не восстановлен после строительных работ
223;Отсутствие освещения в ночное время;Отсутствуют гирлянды ночного аварийного освещения, в следствии чего аварийное освещения объекта не возможно.
224;Неубранная территория строительной площадки;Грязь, пыль, кирпичная крошка. Территория систематически не убирается после работ.
225;Отсутствие освещения в ночное время;
226;Отсутствие информационного щита/некачественное содержание щита;
227;Отсутствие ограждения площадки/ некачественное содержание ограждения;Отсутствует ограждение вдоль тротуара, в темноте можно упасть в канаву. Просьба принять срочные меры.
228;Отсутствие информационного щита/некачественное содержание щита;
229;Отсутствие освещения в ночное время;
230;Отсутствие информационного щита/некачественное содержание щита;
231;Отсутствие освещения в ночное время;
232;Отсутствие информационного щита/некачественное содержание щита;
233;Отсутствие освещения в ночное время;
234;Отсутствие ограждения площадки/ некачественное содержание ограждения;
235;Неубранная территория строительной площадки;Завал материалами
236;Отсутствие освещения в ночное время;
237;Отсутствие информационного щита/некачественное содержание щита;
238;Отсутствие информационного щита/некачественное содержание щита;
239;Несвоевременное восстановление благоустройства;Отсутствует асфальтобетонное покрытие.
240;Неубранная территория строительной площадки;Отсутствие уборки’ Вся грязь течёт в ближайший двор.
241;Несвоевременное восстановление благоустройства;
242;Отсутствие информационного щита/некачественное содержание щита;
243;Несвоевременное восстановление благоустройства;"После завершения строительства станции метро ""Фонвизинская"" не была демонтирована временная опора контактной сети троллейбуса, установленная на время изменения схемы движения и сужения проезжей части. Опора установлена в стаканный фундамент, закреплена в нём клиньями, растяжки контактной сети оборваны, временный светильник освещает газон"
244;Неубранная территория строительной площадки;Вдоль между забором строй площадки и Клинским проездом строительный мусор (бетонные плиты куски цемента). Прошу убрать!
245;Неубранная территория строительной площадки;Строительная площадка регулярно должна очищаться от мусора и использованных строительных материалов,бытовки ,и т.д.строительная площадка содержится в ненадлежащем санитарном состоянии.
246;Неубранная территория строительной площадки;Территория захламлена, примите меры
247;Несвоевременное восстановление благоустройства;После проведения работ дорожные покрытия, тротуары, газоны и другие разрытые участки должны быть восстановлены в сроки, указанные в ордере (разрешении). Строительные работы на этом участке закончились, а место их проведения до сих пор не приведено в изначальный вид.
248;Несвоевременное восстановление благоустройства;После проведения работ дорожные покрытия, тротуары, газоны и другие разрытые участки должны быть восстановлены в сроки, указанные в ордере (разрешении). Строительные работы на этом участке закончились, а место их проведения до сих пор не приведено в изначальный вид.
